feature,importance
lag1,0.5231029
lga_level,0.120773755
lag2,0.08659285
roll12,0.06573139
roll3,0.03457438
roll6,0.026752343
lag3,0.01810214
roll3_std,0.017100602
mom_cos,0.013846288
lag12,0.013562418
state_level,0.008084147
month,0.007949058
trend,0.007341662
solar_kwh_m2_day,0.0066039576
mom_sin2,0.0062764077
rainfall_mm_day,0.0062167654
mom_sin,0.00617415
humidity_pct,0.0055634915
rain_lag1,0.0055046226
temp_lag1,0.0053554173
mom_cos2,0.005300268
temperature_mean_c,0.0048599704
log_pop,0.00463108
